Employee_ID,Department,Location,Employment_Type,Shift_Type,Job_Level,Tenure_Months,Base_Salary,HRA,Allowances,Bonus,Overtime_Hours,Leaves_Taken,Sick_Leaves,Casual_Leaves,Late_Logins,Early_Logouts,Missed_Punches,Attendance_Variance,Salary_Change_Pct,Salary_Change_Count_6M,Performance_Rating,Training_Hours,Engagement_Score,Manual_Payroll_Edits,Policy_Violations,Previous_Audit_Flags,Manager_Changes,Remote_Work_Days,Travel_Days,Risk_Score,High_Risk
8013,Support,Delhi,Full-Time,Night,2,50,57263,24266,6549,10000,0,10,2,0,4,3,0,0.15,-2.9,0,4,36,2.95,3,1,0,2,3,8,0.144156409,0
8014,Operations,Delhi,Intern,Night,3,36,44464,16734,7208,0,7,5,4,0,6,2,0,0.2,2.8,4,4,28,4.2,2,3,0,1,2,5,0.276238418,0
8015,IT,Bangalore,Full-Time,Day,6,16,67144,22534,4393,10000,12,6,3,1,6,4,2,0.06,3.5,1,3,22,3.74,2,1,1,2,1,0,0.337533174,1
8016,Sales,Delhi,Intern,Night,5,55,60720,25752,6740,5000,15,2,2,2,10,2,0,0.11,11.9,1,4,11,2.73,0,2,0,0,2,0,0.172516012,0
8017,Support,Mumbai,Full-Time,Rotational,5,16,66850,27315,4384,5000,6,2,4,1,6,3,2,0.17,10.5,2,3,42,3.82,1,1,1,0,5,8,0.144222811,0
8018,Finance,Delhi,Full-Time,Night,1,2,34822,14492,3667,0,3,3,0,5,13,1,2,0.22,3,2,4,20,3.82,2,2,0,2,0,5,0.314240577,0
8019,Operations,Hyderabad,Intern,Day,6,63,69958,29585,7527,15000,11,9,2,1,4,3,4,0.13,8.4,1,2,28,2.69,2,3,0,2,4,0,0.359166127,1
8020,HR,Pune,Full-Time,Rotational,5,57,57413,25146,6143,10000,12,1,4,3,3,1,0,0.18,21.7,1,4,9,3.43,3,0,1,2,4,0,0.253518742,0
8021,IT,Pune,Contract,Day,1,56,36666,12865,4801,10000,14,2,4,5,1,4,4,0.07,14.4,0,3,16,3.18,0,2,1,0,2,0,0.210238416,0
8022,Support,Delhi,Full-Time,Rotational,2,28,37283,12447,4349,0,6,3,1,3,0,1,0,0.01,7.5,2,4,26,3.89,2,2,1,1,4,0,0.361474467,1
8023,Finance,Chennai,Intern,Night,2,73,29348,12898,2579,0,2,4,0,5,4,0,0,0.3,4.9,1,2,26,4.22,1,2,0,0,4,8,0.139682792,0
8024,Support,Pune,Contract,Rotational,6,78,62778,22056,3435,0,18,4,0,0,5,3,1,0.27,3.3,1,4,15,3.79,3,1,0,0,4,8,0.108693198,0
8025,HR,Hyderabad,Full-Time,Night,1,62,33626,14708,6320,0,16,1,2,2,3,4,4,0.17,14.7,4,3,1,3.56,0,3,0,0,4,2,0.14862826,0
8026,IT,Mumbai,Intern,Day,2,38,28903,11267,5220,5000,15,5,3,0,1,2,3,0.04,25,1,4,28,2.89,1,0,0,0,4,0,0.029211455,0
8027,HR,Pune,Intern,Night,2,2,40564,17695,2901,0,9,4,0,0,4,6,1,0.12,14.5,0,3,15,3.35,3,3,1,2,5,0,0.4047098,1
8028,Operations,Delhi,Full-Time,Night,4,28,56257,24549,5581,10000,4,3,2,2,1,1,3,0.12,-3,2,4,9,3.04,2,1,0,2,1,2,0.236036654,0
8029,Sales,Delhi,Contract,Rotational,1,34,41864,16575,7157,0,2,7,4,5,4,4,1,0.24,-8,4,4,16,2.87,1,3,1,0,0,2,0.142794323,0
8030,Sales,Mumbai,Contract,Day,2,27,25486,11410,2784,0,14,6,0,5,4,4,0,0.38,-3.8,1,3,41,4.43,2,3,1,0,3,2,0.248223699,0
8031,HR,Pune,Contract,Day,1,52,26926,10470,6950,15000,14,4,4,2,1,5,0,0.38,26,1,4,15,2.82,0,0,0,1,5,2,0.081542291,0
8032,IT,Mumbai,Intern,Day,1,45,33885,14502,8755,15000,8,4,3,2,4,3,4,0.17,4.4,2,2,23,4.23,1,3,0,0,4,8,0.141620444,0
8033,Sales,Delhi,Full-Time,Night,1,53,24544,10750,4213,0,17,2,2,4,7,1,0,,9.3,1,5,5,3.27,1,0,1,2,4,0,0.260754828,0
8034,Admin,Delhi,Contract,Night,6,68,70829,29926,3061,0,10,6,0,5,6,4,3,0.14,-3.1,1,4,25,2.75,1,2,1,2,4,8,0.332249882,1
8035,Support,Delhi,Full-Time,Day,3,11,43072,18105,2085,5000,12,9,2,2,0,1,0,,-5.8,1,5,31,2.82,0,0,0,1,3,2,0.225645833,0
8036,IT,Mumbai,Contract,Day,1,44,31546,12951,8457,0,14,2,0,5,7,2,0,0.22,1.3,4,2,17,4.5,1,2,0,0,4,0,0.160853586,0
8037,HR,Bangalore,Intern,Day,2,52,34847,13885,2799,10000,14,4,1,1,6,2,1,0.03,25,2,5,13,3.01,0,2,0,1,0,5,0.140576506,0
8038,IT,Chennai,Full-Time,Rotational,5,58,70383,30397,5745,0,0,0,2,2,0,1,4,0.04,25,3,3,39,2.65,3,1,0,0,1,5,0.195877398,0
8039,Operations,Pune,Contract,Day,6,28,48158,20202,2720,15000,10,3,1,1,4,4,0,0.31,15.4,0,2,13,4.05,2,3,0,1,4,2,0.26145216,0
8040,Support,Mumbai,Contract,Night,3,25,45716,18912,7637,5000,15,3,1,1,0,0,0,0.13,23.6,0,3,34,4.4,1,1,1,0,4,0,0.031211009,0
8041,Operations,Chennai,Full-Time,Day,5,4,56275,24946,7345,0,9,7,0,1,10,4,0,0.16,7.7,2,3,6,3.13,1,3,1,2,4,0,0.311323719,0
8042,IT,Hyderabad,Contract,Night,2,42,29852,11703,6559,0,13,2,4,2,4,6,0,0,21.7,3,3,6,3.47,0,1,1,1,0,2,0.129327229,0
8043,Admin,Mumbai,Intern,Day,6,42,64887,21339,7859,5000,18,1,2,5,10,2,4,0.07,5.5,1,4,7,4.44,0,3,0,0,2,0,0.206240533,0
8044,HR,Pune,Full-Time,Day,6,42,63599,23198,4460,0,23,9,1,0,3,4,3,0.07,0.4,2,3,33,2.74,2,1,0,1,0,8,0.258627878,0
8045,Support,Pune,Full-Time,Rotational,6,53,71050,27550,2606,5000,14,5,4,5,4,3,0,0.17,-9.3,1,2,27,2.92,2,3,1,1,5,8,0.322645763,0
8046,Admin,Bangalore,Full-Time,Rotational,4,44,47903,16046,4952,15000,13,7,2,1,3,7,4,,9.4,1,3,54,4.1,0,1,0,1,0,5,0.24336235,0
8047,HR,Mumbai,Contract,Day,6,26,71217,28584,8201,0,8,6,2,1,2,0,1,0.12,5.8,2,2,16,3.47,2,0,1,0,2,8,0.202917892,0
8048,IT,Bangalore,Intern,Day,5,69,52277,18742,3635,0,4,5,0,0,3,1,1,0.12,40,1,4,31,3.46,3,1,1,0,1,0,0.309252192,0
8049,HR,Bangalore,Contract,Night,1,38,31271,11639,7864,15000,9,2,0,0,5,5,0,0.23,31,0,4,23,3.63,0,1,1,1,5,8,0.282438866,0
8050,IT,Pune,Intern,Night,5,5,60014,23830,6060,0,0,2,2,3,1,1,0,0.17,5.7,2,2,19,3.77,1,0,1,2,5,2,0.120775853,0
8051,HR,Hyderabad,Contract,Day,2,39,46972,15525,3541,15000,15,4,2,1,7,3,0,0.21,8.4,2,2,18,3.27,2,0,0,0,3,2,0.171006065,0
8052,Admin,Mumbai,Intern,Day,3,34,41754,18142,8102,5000,12,2,1,3,5,6,2,0.26,9.4,1,2,4,3.79,0,1,1,2,4,2,0.209730424,0
8053,IT,Delhi,Full-Time,Day,4,32,48647,15683,5025,0,17,0,4,4,2,3,2,0.14,4.1,0,4,23,3.3,0,1,1,0,5,8,0.213271995,0
8054,HR,Bangalore,Intern,Day,4,25,62102,24671,4685,15000,5,8,1,1,3,2,2,0.31,-6.2,0,3,23,3.01,0,3,1,0,2,2,0.325695584,0
8055,Finance,Pune,Intern,Rotational,4,3,49166,17783,7070,0,2,8,3,2,5,3,1,0.24,10.6,1,4,24,4.33,0,3,1,1,0,5,0.233049483,0
8056,IT,Bangalore,Contract,Day,5,54,60827,21248,3125,15000,0,6,2,4,2,2,4,0.43,-5.8,1,3,16,4.1,0,1,1,0,2,2,0.234092331,0
8057,Sales,Pune,Intern,Night,4,34,49983,22405,2997,10000,13,9,1,3,4,1,0,0.17,3.3,2,3,9,3.81,3,0,1,1,1,0,0.240075406,0
8058,Operations,Hyderabad,Contract,Day,6,34,72996,23658,8553,0,15,6,1,3,5,1,1,0.19,16.9,1,3,33,4.3,1,0,1,0,5,2,0.134846413,0
8059,Support,Mumbai,Intern,Rotational,6,53,73836,29869,5354,5000,3,2,4,2,0,5,0,0.18,-2.4,1,3,17,2.97,1,0,1,0,1,8,0.153353683,0
8060,Finance,Chennai,Contract,Rotational,1,11,32917,13680,7374,10000,16,0,4,1,10,5,0,0.02,5.6,2,3,15,3.15,2,1,0,0,1,8,0.090207006,0
8061,Sales,Pune,Contract,Rotational,3,27,46979,19405,8363,0,11,3,4,0,5,2,4,0.2,-16.3,1,5,6,3.42,1,2,0,1,0,5,0.266440826,0
8062,Sales,Mumbai,Intern,Day,5,61,51220,16879,3188,0,8,9,0,0,2,7,2,0.11,-6.6,0,4,6,2.58,2,2,1,0,0,0,0.408384272,1
8063,Finance,Pune,Full-Time,Night,5,30,67955,29380,5906,5000,8,2,1,0,6,3,3,0.24,-6.4,3,4,42,3.41,0,1,0,0,1,0,0.077432182,0
8064,Support,Hyderabad,Intern,Night,6,55,70581,26758,5609,0,12,5,4,3,2,1,0,0.21,12.4,3,5,14,4.5,3,0,0,1,1,2,0.177008761,0
8065,Support,Chennai,Contract,Day,2,39,48017,19222,8082,0,16,7,2,5,8,0,0,0.14,-3.9,4,2,17,3.16,1,1,1,0,5,5,0.055886891,0
8066,IT,Bangalore,Full-Time,Night,5,44,64234,26920,7584,5000,13,3,0,4,6,0,3,,-8.4,1,2,3,3.76,1,1,1,0,2,2,0.273877331,0
8067,Support,Chennai,Full-Time,Rotational,6,49,60754,25438,5503,15000,10,7,3,4,4,0,2,0.13,-18.2,4,5,18,4.63,1,2,0,0,2,0,0.139184275,0
8068,Support,Bangalore,Full-Time,Night,2,47,39952,15501,6690,15000,3,4,1,3,8,1,3,0.19,21.6,2,4,37,2.92,2,0,1,0,1,5,0.267334508,0
8069,IT,Chennai,Full-Time,Day,4,23,51248,21834,4614,15000,12,4,4,5,7,3,0,0.07,1.4,1,2,30,3.13,1,1,1,1,1,0,0.159047145,0
8070,Operations,Chennai,Contract,Night,5,25,60197,22798,6106,0,5,5,4,0,5,1,1,0.24,-3.4,2,2,7,3.4,2,0,1,0,1,2,0.185476298,0
8071,Operations,Delhi,Full-Time,Rotational,4,73,56614,21374,5120,0,13,8,4,5,6,0,2,0.08,0.2,1,5,14,3.69,0,1,0,2,2,8,0.189182175,0
8072,Finance,Chennai,Contract,Rotational,2,36,41156,16808,3615,0,0,7,3,1,0,0,4,,-0.3,2,3,30,2.72,0,1,0,2,3,5,0.23714466,0
8073,Finance,Pune,Contract,Rotational,1,6,28503,9564,8819,15000,15,6,0,0,2,3,4,0.15,7.9,0,4,28,4.13,3,1,0,1,1,8,0.270213476,0
8074,Support,Hyderabad,Full-Time,Night,4,51,48478,21417,5876,5000,8,2,1,3,6,3,2,0.18,20,3,2,7,2.77,0,2,0,0,1,2,0.128094542,0
8075,Admin,Delhi,Contract,Rotational,6,26,70960,23453,4820,0,7,2,3,1,7,3,0,0.16,65,4,2,38,2.9,1,1,0,0,0,8,0.232556415,0
8076,Finance,Delhi,Contract,Rotational,6,51,62952,20355,2946,10000,8,4,3,1,1,4,3,0.33,1.4,1,3,36,3.39,2,1,1,0,0,0,0.316715475,0
8077,Sales,Hyderabad,Contract,Night,4,72,51503,20628,4081,5000,5,6,3,0,4,3,0,0.11,40,3,4,33,4.17,2,1,0,0,4,2,0.313758502,0
8078,Support,Hyderabad,Contract,Day,5,48,53149,22725,7135,15000,0,3,2,4,3,1,3,0.27,9.9,0,4,16,4.74,0,2,0,2,3,0,0.256946061,0
8079,Support,Bangalore,Full-Time,Rotational,4,42,47134,17867,7910,15000,2,3,3,3,7,4,3,0.05,-2.7,3,3,13,4.08,1,2,0,0,1,0,0.126537002,0
8080,Sales,Pune,Full-Time,Night,3,60,49044,20954,5468,5000,5,0,0,3,3,5,3,0.38,4.7,2,4,23,2.59,1,0,0,1,2,0,0.11617336,0
8081,Admin,Delhi,Contract,Day,4,13,47141,17228,7422,5000,7,2,4,4,7,4,0,0.31,25,1,3,19,4.71,3,0,1,0,3,5,0.175494845,0
8082,Support,Bangalore,Intern,Day,1,37,25947,9942,8442,10000,9,4,0,0,1,4,0,0.13,-15.3,0,4,12,2.78,1,3,0,2,4,2,0.112649402,0
8083,HR,Hyderabad,Full-Time,Night,6,15,71677,31129,3809,0,2,5,3,2,7,1,0,0.17,-20,2,3,21,2.85,1,2,1,1,4,8,0.223311681,0
8084,Finance,Hyderabad,Intern,Rotational,6,50,69300,23130,3060,10000,18,7,1,1,6,2,0,0.21,-2.5,1,5,5,3.92,1,0,0,2,4,0,0.031289555,0
8085,Finance,Bangalore,Intern,Day,3,37,45073,18882,2247,0,14,7,2,5,1,1,2,0.25,-0.8,1,4,17,3.39,0,1,0,0,2,8,0.068789905,0
8086,Support,Hyderabad,Full-Time,Rotational,6,31,73710,28959,6224,0,22,8,3,3,8,5,1,0.29,-8.2,4,3,32,4.13,1,1,1,0,3,0,0.12063509,0
8087,Finance,Mumbai,Intern,Day,5,23,58323,20336,6187,5000,14,6,4,0,9,0,1,0.27,14.5,1,4,16,3.27,2,1,0,0,5,8,0.105689142,0
8088,Finance,Bangalore,Intern,Rotational,3,17,47144,19882,2392,5000,11,7,4,4,3,2,3,0.18,65,2,2,43,4.29,1,3,0,0,5,5,0.293720053,0
8089,Finance,Mumbai,Contract,Rotational,2,34,33003,14519,5304,15000,4,1,2,3,0,0,0,0.18,0.7,2,3,7,3.3,0,1,1,2,4,0,0.215511585,0
8090,Finance,Chennai,Intern,Night,4,57,54436,21838,5461,15000,13,6,1,4,0,0,0,0.02,30.1,3,2,35,2.55,2,1,0,0,0,0,0.24489142,0
8091,Admin,Hyderabad,Full-Time,Night,4,19,52308,22587,7059,0,11,8,1,5,5,2,0,0.27,10.4,1,3,29,2.64,3,1,0,0,2,2,0.129343122,0
8092,Sales,Pune,Full-Time,Night,3,81,41857,14801,3152,10000,13,4,4,5,8,2,3,0.34,-0.9,0,2,26,2.56,0,3,0,2,3,0,0.283718206,0
8093,Finance,Pune,Intern,Rotational,3,65,42684,15722,5161,5000,17,2,2,2,4,0,2,0.32,9.6,3,2,31,3.73,0,1,1,0,3,0,0.124837335,0
8094,HR,Mumbai,Contract,Night,5,36,63169,27655,3938,0,7,2,4,3,4,1,4,0.21,15.4,4,2,15,3.46,2,2,1,0,1,5,0.383967377,1
8095,Sales,Delhi,Full-Time,Day,3,22,46817,19161,2651,10000,13,4,4,2,5,2,2,0.25,8.8,0,4,30,4.52,3,0,1,0,3,0,0.239806784,0
8096,Operations,Pune,Contract,Rotational,5,28,57805,19564,4435,0,7,6,0,4,7,3,1,0.15,9.8,1,4,13,4.07,3,0,1,2,0,2,0.261550501,0
8097,Finance,Mumbai,Contract,Night,3,42,54694,19672,3488,5000,6,8,3,5,3,3,0,0.29,12.3,1,3,25,3.79,1,0,1,0,5,5,0.055035958,0
8098,IT,Mumbai,Intern,Rotational,2,53,33240,12420,7616,5000,8,2,1,5,3,4,1,0.2,1.6,4,2,25,4.43,2,3,0,0,2,5,0.185944952,0
8099,Operations,Chennai,Intern,Night,1,29,35040,15188,2788,15000,4,4,0,0,1,2,1,0.33,12.6,1,4,7,4.77,2,3,0,2,5,5,0.256914539,0
8100,Finance,Bangalore,Intern,Rotational,2,14,38350,12589,7819,5000,16,9,0,4,3,0,1,0.15,4.9,1,4,17,3.95,1,0,0,1,3,5,0.081936666,0
8101,Support,Hyderabad,Intern,Night,1,35,26783,10268,6565,0,8,1,0,0,2,0,4,0.05,-1.4,2,5,19,2.95,1,2,1,2,0,8,0.321021603,0
8102,Sales,Pune,Full-Time,Day,3,1,50795,16581,7833,10000,10,3,4,4,1,3,1,0.16,33.3,4,4,30,3.15,0,2,0,1,0,8,0.376875034,1
8103,Sales,Delhi,Full-Time,Rotational,6,34,66565,25200,8505,15000,1,1,3,4,6,6,0,0.19,1.2,3,2,41,2.76,3,0,0,2,1,8,0.21544847,0
8104,Finance,Bangalore,Full-Time,Day,5,57,57944,24200,2497,0,4,7,1,4,1,0,1,0.2,20.1,3,4,31,2.9,3,1,0,0,4,2,0.152796308,0
8105,HR,Chennai,Contract,Night,4,17,52542,16893,4954,5000,4,3,1,4,4,0,0,0.31,14.6,2,4,14,4.05,0,2,1,0,5,5,0.185747879,0
8106,Operations,Chennai,Full-Time,Rotational,6,75,63190,23918,6054,0,2,1,1,2,1,6,0,0.15,-20,1,4,7,2.6,0,0,0,2,2,8,0.044403996,0
8107,IT,Hyderabad,Full-Time,Day,5,6,60672,19467,4701,5000,0,1,4,1,4,5,4,0.13,25,3,3,16,3.66,1,2,1,0,2,2,0.289618248,0
8108,Sales,Pune,Full-Time,Day,3,39,39509,12762,7293,15000,7,5,4,4,3,2,4,0.18,8.3,2,4,23,3.16,3,1,0,0,5,5,0.179024072,0
8109,Support,Hyderabad,Contract,Rotational,5,39,60986,23735,3178,15000,8,7,1,1,1,1,0,0.19,26.3,3,4,24,2.88,2,1,0,1,1,2,0.165268066,0
8110,Operations,Hyderabad,Intern,Day,3,65,48155,20008,4103,0,6,3,4,3,8,3,4,,13.6,1,3,9,4.16,2,1,1,0,5,2,0.341569963,1
8111,Finance,Chennai,Intern,Rotational,3,26,45378,18536,5267,0,12,3,3,3,4,5,0,0.06,38.5,4,3,3,3.83,1,2,1,1,1,5,0.389531855,1
8112,Sales,Pune,Intern,Rotational,4,102,54605,21544,8692,0,13,0,2,5,6,4,4,0.4,13.9,3,4,27,3.33,0,0,1,1,5,0,0.275624976,0
8113,Support,Pune,Intern,Night,1,37,29217,11753,2483,15000,14,6,0,0,5,5,0,0.28,25,2,5,47,3.83,0,2,0,1,2,0,0.197396606,0
8114,Finance,Chennai,Full-Time,Day,4,55,52006,22013,6949,10000,5,5,3,1,1,4,4,0.3,-0.3,4,2,25,3.97,2,2,0,1,4,2,0.316160354,0
8115,Operations,Delhi,Intern,Night,1,22,32675,14230,5521,0,20,7,3,3,0,4,2,0.08,-1.7,4,5,8,4.28,0,1,0,1,5,0,0.121737573,0
8116,IT,Hyderabad,Contract,Night,6,41,67676,22134,7240,0,4,4,1,1,3,4,0,0.23,-4.3,0,4,19,4.64,0,0,0,1,0,2,0.062058793,0
8117,Admin,Chennai,Full-Time,Night,1,44,36299,15896,8600,5000,8,6,3,2,4,1,0,0.19,13.4,0,3,17,4.51,2,0,1,2,2,0,0.316124014,0
8118,Sales,Chennai,Full-Time,Rotational,5,27,60988,21648,5327,5000,10,2,4,5,4,3,0,,12,1,5,19,4.27,0,1,0,0,4,0,0.137397121,0
8119,Operations,Delhi,Intern,Night,1,3,37693,15588,4598,5000,15,7,3,4,6,2,2,0.29,-2.7,2,4,40,2.96,1,2,1,1,2,8,0.380597459,1
8120,Sales,Mumbai,Contract,Day,1,24,22280,9549,2102,15000,10,4,2,0,4,1,2,0.27,18,4,2,10,4.72,1,0,1,0,3,5,0.13110867,0
8121,HR,Pune,Intern,Day,5,22,55403,18676,7999,15000,8,1,0,1,3,0,3,0.1,18.4,2,2,33,4.74,1,0,1,1,0,0,0.269382739,0
8122,IT,Delhi,Full-Time,Rotational,2,12,33328,11324,8296,15000,6,1,3,4,1,2,0,0.23,22.6,2,4,22,4.29,0,1,1,2,1,0,0.156153362,0
8123,Finance,Delhi,Contract,Night,2,65,40788,16118,3028,15000,15,4,3,2,1,0,2,0.09,18.4,0,2,35,4.64,1,1,0,1,5,0,0.104779348,0
8124,Operations,Chennai,Intern,Day,1,62,31189,10961,5504,15000,13,4,1,5,5,1,4,0.16,21.3,1,4,7,4.56,1,0,0,2,2,8,0.133942515,0
8125,Admin,Chennai,Contract,Day,3,7,47991,19469,2762,10000,0,5,0,1,1,3,4,0.26,11.4,3,3,11,4.69,0,2,1,2,5,5,0.33539004,1
8126,Support,Delhi,Full-Time,Night,5,71,62598,25455,3138,0,2,3,0,4,8,0,2,0.32,12,1,5,22,3.49,0,2,0,2,4,8,0.279173448,0
8127,Sales,Delhi,Contract,Day,6,32,62762,23329,8436,5000,30,0,0,2,8,1,1,0.11,5.2,1,5,36,3.46,0,0,0,0,1,8,0.061281687,0
8128,Sales,Bangalore,Contract,Rotational,4,1,54435,19037,8694,0,13,0,3,4,6,3,3,0.27,23,1,4,16,3.31,0,2,0,0,3,0,0.170190238,0
8129,Support,Mumbai,Full-Time,Night,1,42,35915,12447,3787,5000,7,4,0,2,3,3,1,0.28,1.2,1,4,30,2.85,0,0,0,0,3,8,-0.006840688,0
8130,IT,Delhi,Full-Time,Rotational,4,63,55451,18138,8811,15000,5,0,2,5,1,4,0,0.24,-20,3,5,38,3.25,0,1,0,0,0,2,0.035121572,0
8131,HR,Bangalore,Contract,Night,3,54,41244,16106,3047,5000,18,2,2,1,5,5,1,0.41,2.8,0,4,23,2.8,2,3,0,0,0,2,0.280440992,0
8132,Finance,Mumbai,Intern,Night,3,49,48033,20537,6880,5000,8,3,1,4,4,2,1,0.12,12.8,0,5,8,4.03,2,1,0,1,0,5,0.173433173,0
8133,Operations,Bangalore,Intern,Day,2,25,47380,18545,4183,0,12,2,3,1,4,2,0,0.23,5.4,2,3,44,3.73,1,2,0,0,2,8,0.17966537,0
8134,Support,Bangalore,Contract,Day,6,40,66935,27311,6375,0,11,5,4,5,6,5,1,0.19,25.3,1,5,14,3.4,2,1,1,0,5,0,0.151627422,0
8135,Finance,Bangalore,Full-Time,Night,1,60,30072,11990,3729,0,6,1,2,5,2,2,2,0.21,0.4,1,5,27,4.6,0,3,0,0,0,0,0.138924073,0
8136,Operations,Delhi,Intern,Rotational,2,36,45567,18755,4959,5000,6,1,2,1,4,6,0,,7.2,2,3,27,3.89,1,2,0,0,3,2,0.283209148,0
8137,Operations,Mumbai,Full-Time,Night,5,75,55860,21201,2644,0,17,7,0,2,5,0,3,0.08,27.6,1,5,29,3.36,2,1,0,0,4,5,0.153017054,0
8138,Finance,Mumbai,Full-Time,Night,3,65,45347,20050,3543,0,14,2,0,1,5,2,1,0.21,4.3,2,4,24,4.48,1,2,0,0,2,0,0.107424872,0
8139,Finance,Chennai,Contract,Rotational,4,79,54698,22487,3428,0,4,1,1,0,2,3,0,0.27,3.3,2,3,33,3.41,3,0,0,2,2,2,0.149275817,0
8140,Sales,Delhi,Full-Time,Day,4,26,50031,17351,7598,0,18,2,1,2,8,5,2,0.23,10.4,1,4,24,3.46,3,1,1,0,4,5,0.329049966,0
8141,Finance,Bangalore,Intern,Night,3,6,53130,20244,2198,10000,11,2,1,0,1,2,3,0.21,25,3,4,38,2.52,1,1,0,2,1,0,0.17687238,0
8142,Admin,Pune,Full-Time,Rotational,3,35,38244,16357,7525,15000,2,0,1,1,0,2,1,0.04,-2.5,3,5,22,4.33,0,1,0,2,2,0,0.042581484,0
8143,Admin,Mumbai,Intern,Rotational,2,6,32671,13520,4693,15000,15,6,1,5,3,3,0,0.36,17.2,1,2,13,2.88,3,1,1,1,5,5,0.274024279,0
8144,Finance,Delhi,Full-Time,Rotational,3,19,46292,17309,7277,0,10,9,1,0,5,1,3,0.14,-4.6,4,4,22,4.1,2,2,0,1,1,0,0.318364359,0
8145,Support,Delhi,Full-Time,Day,2,30,31577,13781,3430,0,16,4,2,4,6,2,1,0.26,-5,0,5,25,4.42,0,3,1,0,2,5,0.177561479,0
8146,Operations,Pune,Full-Time,Night,4,75,57482,21766,3284,0,6,2,2,4,3,6,0,0.09,-4.7,1,5,13,3.6,0,1,0,2,3,0,0.123151605,0
8147,Admin,Bangalore,Contract,Day,2,39,39779,15384,8924,10000,3,1,2,5,0,0,1,0.28,18.9,1,5,29,3.61,1,1,1,0,0,5,0.117922084,0
8148,Support,Delhi,Intern,Night,1,17,33286,14035,7262,0,18,6,2,3,1,3,3,,4.8,1,3,25,3.5,0,1,1,0,4,0,0.2897544,0
8149,Sales,Pune,Intern,Rotational,6,25,57498,23727,4703,5000,12,0,1,5,5,4,1,0.33,-3.1,1,3,21,3.76,0,1,1,1,5,8,0.173011405,0
8150,Finance,Bangalore,Intern,Day,4,50,46122,15903,6862,15000,4,7,1,4,5,4,4,0.25,40,2,2,31,3.49,0,2,0,0,5,8,0.308777736,0
8151,IT,Mumbai,Contract,Rotational,3,33,47457,18624,2272,0,7,8,2,4,9,1,0,0.24,1.3,4,4,31,4.47,2,1,0,1,4,8,0.115895085,0
8152,IT,Pune,Contract,Day,1,52,37073,14592,4189,15000,6,5,3,2,7,0,1,0.2,-9.3,0,3,14,3.52,0,2,0,0,3,2,0.100523958,0
8153,Finance,Mumbai,Intern,Rotational,5,33,63791,23493,6329,5000,5,0,1,3,3,5,4,0.19,0.1,1,4,36,3.36,1,2,1,0,0,2,0.220087977,0
8154,Sales,Mumbai,Full-Time,Night,5,63,64057,22790,3093,10000,18,0,1,0,2,2,2,0.23,9.4,1,3,37,3.54,3,1,1,0,2,5,0.204253117,0
